theta,q,theta_via_q,y_rep
0.59108992,0.79554496,0.59108992,82.0
0.67035715,0.83517857,0.67035715,93.0
0.69179754,0.84589877,0.69179754,87.0
0.69576234,0.84788117,0.69576234,85.0
0.58428856,0.79214428,0.58428856,76.0
0.55236456,0.77618228,0.55236456,73.0
0.71030748,0.85515374,0.71030748,90.0
0.51386531,0.75693265,0.51386531,79.0
0.49586466,0.74793233,0.49586466,75.0
0.52260882,0.76130441,0.52260882,76.0
0.52378442,0.76189221,0.52378442,74.0
0.53957679,0.76978839,0.53957679,72.0
0.57174744,0.78587372,0.57174744,75.0
0.57405201,0.78702601,0.57405201,77.0
0.57898168,0.78949084,0.57898168,85.0
0.57452889,0.78726444,0.57452889,80.0
0.6012764,0.8006382,0.6012764,73.0
0.62959433,0.81479717,0.62959433,83.0
0.55446411,0.77723205,0.55446411,89.0
0.53814166,0.76907083,0.53814166,78.0
0.55006177,0.77503089,0.55006177,82.0
0.55567404,0.77783702,0.55567404,79.0
0.54533795,0.77266898,0.54533795,72.0
0.55859437,0.77929718,0.55859437,75.0
0.62229864,0.81114932,0.62229864,85.0
0.4794436,0.7397218,0.4794436,72.0
0.58667938,0.79333969,0.58667938,79.0
0.6327907,0.81639535,0.6327907,79.0
0.52494107,0.76247054,0.52494107,79.0
0.56752059,0.7837603,0.56752059,72.0
0.6236764,0.8118382,0.6236764,85.0
0.50312682,0.75156341,0.50312682,78.0
0.52385651,0.76192826,0.52385651,76.0
0.53769442,0.76884721,0.53769442,79.0
0.60622458,0.80311229,0.60622458,83.0
0.59588852,0.79794426,0.59588852,81.0
0.55705977,0.77852989,0.55705977,81.0
0.66157108,0.83078554,0.66157108,84.0
0.65665982,0.82832991,0.65665982,82.0
0.55204706,0.77602353,0.55204706,77.0
0.55788752,0.77894376,0.55788752,73.0
0.54839667,0.77419834,0.54839667,80.0
